year	qtr	beef_q	pork_q	chick_q	turkey_q	beef_p	pork_p	chick_p	turkey_p	cpi
1992	1	16.3952	13.1929	16.8084	3.4475	282.2667	210.4	86.2	95.37	138.67
1992	2	16.9538	12.697	17.1634	3.7342	286.8333	207.3	85.87	98.47	139.8
1992	3	17.227	13.2128	17.3147	4.2	282.6667	211.8	88.03	100.1	140.9
1992	4	15.9093	13.9768	16.4821	6.4864	286.6667	208.5	87.63	93.97	141.9
1993	1	15.8915	13.018	17.3378	3.5527	292.1333	205.9	87.5	99.07	143.1
1993	2	16.2058	12.6251	17.9871	3.7316	300.4	205.5	88.43	101.37	144.2
1993	3	17.043	12.8477	17.9543	3.9801	292	211.8	89.43	102.43	144.77
1993	4	15.9513	13.8657	16.9636	6.4533	289.2333	213.2	90.7	97.5	145.77
1994	1	16.2494	12.5018	17.516	3.5479	286.6667	212.5	89.27	98.5	146.7
1994	2	16.8868	12.9018	18.0614	3.7688	286.1667	210.4	90.63	98.83	147.63
1994	3	17.3775	13.1741	18.6015	4.414	279.5	210.5	90.87	102.73	148.93
1994	4	16.4723	14.4918	17.3363	6.1044	279.1667	204.8	89.6	100.07	149.63
1995	1	16.3097	13.1044	17.9111	3.5628	283.8667	202.7	90.23	99.77	150.87
1995	2	17.0895	12.9167	18.5493	3.9053	283.1	201.2	90.33	102.9	152.2
1995	3	17.647	12.6978	17.343	4.1648	285.1	206.9	92.2	106.53	152.87
1995	4	16.3476	13.7183	17.0398	6.173	285.2667	213.5	93.9	100.27	153.6
1996	1	17.0783	12.6109	18.2436	3.7235	278.7	218.3	93.8	105.03	155
1996	2	17.6763	11.5758	18.6502	3.9	277.4	227.4	95.47	103.27	156.53
1996	3	17.1606	12.0383	18.5709	4.6382	279.8	243.8	98.93	106.5	157.37
1996	4	16.2764	12.8608	17.486	6.206	285.0333	245.4	100.87	102.5	158.5
1997	1	16.2921	11.7752	17.559	3.4603	278.8	244.4	101.1	105.9	159.57
1997	2	17.2994	11.5617	18.7398	3.9826	278.9667	243.1	100.07	105.17	160.2
1997	3	17.0513	12.0187	18.4364	4.1989	281.0667	248.1	99.5	108.5	160.83
1997	4	16.2354	13.3464	17.635	5.9572	279.3	244.4	100.1	100.67	161.47
1998	1	16.6884	12.7173	17.464	3.9209	273.4667	245.6	102.03	101.03	161.9
1998	2	17.1985	12.3142	18.1367	3.9191	278.1	239.8	102.57	97.33	162.77
1998	3	17.5085	13.0799	18.5167	4.1742	277.3667	244.9	105.53	102.8	163.4
1998	4	16.6475	14.384	18.7589	6.0081	279.5333	240.4	107.33	97.1	163.97
1999	1	16.6785	13.5476	19.5127	3.84	278	235.8	106.43	98.47	164.6
1999	2	17.7635	13.055	19.9553	3.831	284.7667	238.4	104.13	97.2	166.2
1999	3	17.6689	13.218	19.2361	4.3288	289.2333	246.4	105.6	102.77	167.23
