gender,like,attractive,sincere,intelligent,fun,ambitious,sharedinterests
M,7,8,7,7,8,7,5
M,9,8,7,8,6,9,10
M,4,4,7,8,5,6,4
M,7,7,8,8,8,8,7
M,10,10,10,10,10,10,10
M,2,3,8,8,4,7,6
M,4,5,5,7,8,5,2
M,6,8,8,5,8,5,8
M,6,5,8,8,5,5,6
M,5,5,9,8,7,8,8
M,7,7,7,8,8,6,4
M,8,8,10,8,6,9,9
M,6,7,8,8,7,9,5
M,7,7,9,9,6,7,4
M,7,5,10,8,7,5,5
M,8,6,10,8,8,6,6
M,5,4,4,6,6,6,5
M,7,8,8,8,9,8,8
M,6,6,5,6,6,7,3
M,6,6,4,7,7,8,2
M,7,5,8,6,7,7,7
M,8,8,10,9,9,9,6
M,7,6,9,9,7,7,7
M,9,8,8,7,9,8,8
M,6,6,7,7,5,5,3
M,7,8,9,7,9,5,5
M,3,5,8,8,7,7,3
M,6,7,7,7,6,7,5
M,8,8,9,8,8,8,7
M,3,8,6,8,10,9,2
M,5,5,6,5,5,4,3
M,6,6,7,8,6,3,4
M,9,9,8,9,9,7,8
M,5,5,10,6,7,7,4
M,10,10,9,9,6,9,6
M,5,5,8,7,7,5,6
M,7,7,9,8,7,5,5
M,5,5,5,5,3,5,5
M,7,7,9,5,7,6,5
M,6,6,6,6,5,4,5
M,8,10,8,8,8,5,5
M,7,7,7,7,0,7,0
M,6,8,8,9,9,9,9
M,4.5,5,5,5,4,4,4
M,5,8,7,8,7,5,8
M,7,7,7,5,5,6,9
F,3,5,9,8,6,8,2
F,5,5,7,7,9,9,3
F,7,7,8,7,6,6,8
F,7,7,8,9,9,9,6
F,5,5,5,6,7,7,7
F,7,6,7,9,3,6,4
F,7,5,8,8,7,7,6
F,6,7,8,9,3,5,5
F,7,7.5,8,8,7,7,5.5
F,7,6,10,9,8,8,7
F,6,6,9,8,7,5,5
F,3,4,9,10,6,9,2
F,7,6,8,8,6,6,6
F,9,10,10,10,10,10,8
F,7,9,7,8,7,7,5
F,6,5,10,10,5,10,2
F,7,3,10,10,8,9,10
F,6,6,6,8,6,6,4
F,3,1,10,10,6,5,1
F,7,7,7,7,7,5,5
F,6,10,8,7,6,6,7
F,6,8,7,8,8,8,8
F,5,4,9,8,4,7,4
F,7,6,8,8,6,7,3
F,8,8,8,8,8,8,3
F,8,8,10,9,8,8,5
F,6,7,8,9,7,9,3
F,8,8,8,8,8,8,8
F,7,10,9,9,7,9,7
F,9,9,8,8,9,6,9
F,8,7,6,6,7,7,6
F,7,6,10,9,8,6,6
F,8,5,10,8,10,6,10
F,8,8,8,8,8,8,5
F,2,7,5,5,5,6,1
F,8,9,6,7,7,7,7
F,10,10,10,10,10,10,10
F,7,6,7,7,7,6,8
F,6,4,7,7,5,7,7
F,9,8,9,9,9,9,8
F,6,6,7,8,6,8,6
F,5,2,10,8,7,9,2
F,6,8,8,8,6,8,4
F,6,5,8,9,8,9,7
F,10,10,10,10,10,10,10
F,8,7,9,8,9,8,9
F,7,7,10,10,6,8,7
F,7,7,9,8,8,6,6
F,7,9.5,7,7,8,9,6
F,7,8,8,8,7,7,6
F,2,6,6,8,4,10,1
F,7,6,9,8,8,9,1
F,6,6,8,7,4,8,5
F,6,7,8,7,5,5,5
F,3,3,5,7,4,8,2
F,2,3,3,4,3,8,2
F,6,8,8,8,5,5,5
F,8,6,8,9,7,9,6
F,6,7,6,7,5,7,3
F,6,8,7,7,5,5,7
F,10,10,10,10,10,10,10
F,8,7,10,8,10,8,7
F,9,8,10,9,9,10,9
F,10,10,10,10,10,10,9
F,8,7,7,8,9,9,8
F,7,7,5,5,3,3,5
F,5,7,7,9,3,9,0
F,5,5,6,9,8,8,5
F,5,5,9,10,5,9,5
F,3,2,7,10,2,10,2
F,5,7,7,8,8,8,3
F,5,3,10,10,3,10,0
F,9,9,9,9,9,9,9
F,5,5,7,7,6,7,7
F,1,2,10,5,1,5,2
F,5,6,8,8,7,9,3
F,7,8,7,8,8,8,6
F,5,5,5,3,4,1,2
F,6,6,8,7,3,3,6
F,6,6,7,7,6,8,5
F,3,3,6,7,5,4,1
F,5,2,10,10,7,10,1
F,6,8,9,8,6,7,7
F,7,4,10,9,5,7,5
F,7,5,5,5,8,5,5
F,7,7,7,7,7,7,6
F,6,3,8,8,4,8,8
F,5,7,6,8,5,7,1
F,7,9,10,8,10,9,8
F,10,10,9,10,10,10,9
F,6,4,4,8,6,7,3
F,8,6,9,8,8,10,6
F,6,5,8,8,7,7,6
F,6,6,7,8,7,9,6
F,5,5,5,4,2,8,1
F,3,5,8,10,3,8,3
F,6,8,7,8,8,7,6
F,7,7,7,7,6,7,5
F,9,4,3,9,4,9,5
F,6,6,9,8,4,9,6
F,4,5,7,5,4,6,3
F,7,5,5,8,7,6,6
F,8,10,10,10,9,5,6
F,4,5,4,6,6,5,4
F,3,5,5,8,6,8,3
F,8,8,9,9,10,10,8
F,8,6,4,8,10,7,8
F,6,4,9,4,7,8,4
F,5,4,9,8,6,7,2
F,5,7,9,9,7,10,2
F,7,5,6,5,5,5,6
F,3,1,5,5,4,5,3
F,5,7,5,7,7,7,9
F,6,7,8,9,5,7,5
F,6,7,7,7,5,5,5
F,5,7,9,9,6,8,7
F,6,6,8,8,6,8,5
F,4,5,5,6,3,5,3
F,7,7,7,8,7,7,7
